source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T09:00:42+00:00,900007,Málaga,ES,2026-06-10,36.75,-4.4375,Europe/Madrid,26.3,20.4,23.2,0.0,0.0,0.0,14.7
forecast,2026-06-08T09:00:42+00:00,900007,Málaga,ES,2026-06-11,36.75,-4.4375,Europe/Madrid,26.2,21.3,23.4,0.0,0.0,0.0,17.1
forecast,2026-06-08T09:00:42+00:00,900007,Málaga,ES,2026-06-12,36.75,-4.4375,Europe/Madrid,27.4,19.9,23.5,0.0,0.0,0.0,16.2
forecast,2026-06-08T09:00:42+00:00,900007,Málaga,ES,2026-06-13,36.75,-4.4375,Europe/Madrid,28.1,21.3,24.2,0.0,0.0,0.0,11.2
forecast,2026-06-08T09:00:42+00:00,900007,Málaga,ES,2026-06-14,36.75,-4.4375,Europe/Madrid,26.1,22.3,23.9,1.8,0.0,0.0,11.1
forecast,2026-06-08T09:00:42+00:00,900008,Sevilla,ES,2026-06-08,37.375,-6.0,Europe/Madrid,35.0,19.7,26.8,0.0,0.0,0.0,13.2
forecast,2026-06-08T09:00:42+00:00,900008,Sevilla,ES,2026-06-09,37.375,-6.0,Europe/Madrid,36.2,20.7,28.1,0.0,0.0,0.0,13.6
forecast,2026-06-08T09:00:42+00:00,900008,Sevilla,ES,2026-06-10,37.375,-6.0,Europe/Madrid,34.8,19.3,26.4,0.0,0.0,0.0,13.8
forecast,2026-06-08T09:00:42+00:00,900008,Sevilla,ES,2026-06-11,37.375,-6.0,Europe/Madrid,36.1,20.7,28.0,0.0,0.0,0.0,11.0
forecast,2026-06-08T09:00:42+00:00,900008,Sevilla,ES,2026-06-12,37.375,-6.0,Europe/Madrid,37.0,21.6,29.1,0.0,0.0,0.0,14.3
forecast,2026-06-08T09:00:42+00:00,900008,Sevilla,ES,2026-06-13,37.375,-6.0,Europe/Madrid,36.1,20.0,28.3,0.0,0.0,0.0,16.3
forecast,2026-06-08T09:00:42+00:00,900008,Sevilla,ES,2026-06-14,37.375,-6.0,Europe/Madrid,27.1,20.0,23.2,11.1,1.8,0.0,12.8
forecast,2026-06-08T09:00:42+00:00,900009,Huesca,ES,2026-06-08,42.14,-0.40999985,Europe/Madrid,33.0,17.6,25.5,0.0,0.0,0.0,18.9
forecast,2026-06-08T09:00:42+00:00,900009,Huesca,ES,2026-06-09,42.14,-0.40999985,Europe/Madrid,28.2,18.0,23.0,0.0,0.1,0.0,25.5
forecast,2026-06-08T09:00:42+00:00,900009,Huesca,ES,2026-06-10,42.14,-0.40999985,Europe/Madrid,27.3,15.2,21.4,0.0,0.0,0.0,30.6
forecast,2026-06-08T09:00:42+00:00,900009,Huesca,ES,2026-06-11,42.14,-0.40999985,Europe/Madrid,29.3,14.7,21.3,0.0,0.0,0.0,27.5
forecast,2026-06-08T09:00:42+00:00,900009,Huesca,ES,2026-06-12,42.14,-0.40999985,Europe/Madrid,31.6,17.4,24.2,0.0,0.0,0.0,12.9
forecast,2026-06-08T09:00:42+00:00,900009,Huesca,ES,2026-06-13,42.14,-0.40999985,Europe/Madrid,32.7,20.3,26.4,0.0,0.0,0.0,13.7
forecast,2026-06-08T09:00:42+00:00,900009,Huesca,ES,2026-06-14,42.14,-0.40999985,Europe/Madrid,32.7,21.4,27.0,0.0,0.0,0.0,19.3
forecast,2026-06-08T09:00:42+00:00,900010,Teruel,ES,2026-06-08,40.375,-1.125,Europe/Madrid,31.5,14.4,23.0,0.0,0.0,0.0,18.0
forecast,2026-06-08T09:00:42+00:00,900010,Teruel,ES,2026-06-09,40.375,-1.125,Europe/Madrid,28.7,14.4,21.0,0.1,0.0,0.0,20.1
forecast,2026-06-08T09:00:42+00:00,900010,Teruel,ES,2026-06-10,40.375,-1.125,Europe/Madrid,25.3,13.8,19.1,0.0,0.0,0.0,18.7
forecast,2026-06-08T09:00:42+00:00,900010,Teruel,ES,2026-06-11,40.375,-1.125,Europe/Madrid,28.2,11.6,19.3,0.0,0.0,0.0,16.6
forecast,2026-06-08T09:00:42+00:00,900010,Teruel,ES,2026-06-12,40.375,-1.125,Europe/Madrid,29.2,11.5,20.7,0.0,0.0,0.0,14.1
forecast,2026-06-08T09:00:42+00:00,900010,Teruel,ES,2026-06-13,40.375,-1.125,Europe/Madrid,30.6,13.3,22.0,0.0,0.0,0.0,18.4
forecast,2026-06-08T09:00:42+00:00,900010,Teruel,ES,2026-06-14,40.375,-1.125,Europe/Madrid,28.3,13.2,20.8,0.0,0.0,0.0,24.5
forecast,2026-06-08T09:00:42+00:00,900011,Zaragoza,ES,2026-06-08,41.625,-0.875,Europe/Madrid,33.9,19.0,25.3,0.0,0.0,0.0,25.1
forecast,2026-06-08T09:00:42+00:00,900011,Zaragoza,ES,2026-06-09,41.625,-0.875,Europe/Madrid,27.0,17.4,21.7,0.0,0.0,0.0,24.7
forecast,2026-06-08T09:00:42+00:00,900011,Zaragoza,ES,2026-06-10,41.625,-0.875,Europe/Madrid,24.7,14.0,18.8,0.0,0.0,0.0,26.5
forecast,2026-06-08T09:00:42+00:00,900011,Zaragoza,ES,2026-06-11,41.625,-0.875,Europe/Madrid,28.4,13.8,20.2,0.0,0.0,0.0,26.3
forecast,2026-06-08T09:00:42+00:00,900011,Zaragoza,ES,2026-06-12,41.625,-0.875,Europe/Madrid,32.9,16.5,24.0,0.0,0.0,0.0,15.6
forecast,2026-06-08T09:00:42+00:00,900011,Zaragoza,ES,2026-06-13,41.625,-0.875,Europe/Madrid,35.1,19.5,27.0,0.0,0.0,0.0,18.6
forecast,2026-06-08T09:00:42+00:00,900011,Zaragoza,ES,2026-06-14,41.625,-0.875,Europe/Madrid,32.3,19.3,25.3,0.0,0.0,0.0,25.3
forecast,2026-06-08T09:00:42+00:00,900012,Oviedo,ES,2026-06-08,43.36,-5.86,Europe/Madrid,22.9,15.0,17.8,0.1,0.1,0.0,16.6
forecast,2026-06-08T09:00:42+00:00,900012,Oviedo,ES,2026-06-09,43.36,-5.86,Europe/Madrid,18.3,13.9,15.6,0.3,0.4,0.0,14.4
forecast,2026-06-08T09:00:42+00:00,900012,Oviedo,ES,2026-06-10,43.36,-5.86,Europe/Madrid,20.2,11.4,15.7,0.0,0.0,0.0,12.7
forecast,2026-06-08T09:00:42+00:00,900012,Oviedo,ES,2026-06-11,43.36,-5.86,Europe/Madrid,24.1,11.2,17.6,0.0,0.0,0.0,16.9
forecast,2026-06-08T09:00:42+00:00,900012,Oviedo,ES,2026-06-12,43.36,-5.86,Europe/Madrid,24.3,11.1,17.8,0.0,0.0,0.0,13.7
forecast,2026-06-08T09:00:42+00:00,900012,Oviedo,ES,2026-06-13,43.36,-5.86,Europe/Madrid,29.4,13.9,21.4,0.0,0.0,0.0,5.4
forecast,2026-06-08T09:00:42+00:00,900012,Oviedo,ES,2026-06-14,43.36,-5.86,Europe/Madrid,30.9,16.2,22.9,0.0,0.0,0.0,5.9
